burst_size,index,interarrival
60,44,0.011920304247785063
60,45,0.0008386563442325652
60,46,0.0004649721520752431
60,47,0.0005511496925020671
60,48,0.0006696578973663281
60,49,0.0016562403026031869
60,50,0.0006251048025838504
60,51,0.0004067592586692152
60,52,0.0005231197141245236
60,53,0.00123438436197438
60,54,0.0008347548521107157
60,55,0.0005384635998955504
60,56,0.0004565482997127219
60,57,0.0015432843967818821
60,58,0.00041982178751393727
60,59,0.0005165079345268124
60,60,0.0015506453846621986
90,1,0.001215113468829894
90,2,0.002913148171716253
90,3,0.0005370505639819125
90,4,0.003294738958096552
90,5,0.0005574031468746434
90,6,0.0015977642123040866
90,7,0.00455633837327709
90,8,0.0013701929288356327
90,9,0.0013637888746850686
90,10,0.0015886340598795044
90,11,0.0006574992384732315
90,12,0.0010653419357919045
90,13,0.002340146511424739
90,14,0.0004119564862937336
90,15,0.0007224358692747283
90,16,0.0006009540080736973
90,17,0.0004907017539461275
90,18,0.0005430630180116222
90,19,0.0008425599833773282
90,20,0.0004194643919606916
90,21,0.0006608985095050528
90,22,0.0008990133325378465
90,23,0.0015938674695380197
90,24,0.0007818869229326988
90,25,0.0007470223138389571
90,26,0.0004532195984770594
90,27,0.000583634532156721
90,28,0.0008429262144494511
90,29,0.001867295089650659
90,30,0.0010364043196953812
90,31,0.0016652970391597768
90,32,0.0006751673592252466
90,33,0.0009660537161755954
90,34,0.001271203651535085
90,35,0.000462865703740965
90,36,0.002941836412556005
90,37,0.0017114891072539508
90,38,0.000607382684390057
90,39,0.0004827315046073184
90,40,0.0022650300898456746
90,41,0.0010448908539668626
90,42,0.0010331062496474843
90,43,0.0023250461047909193
90,44,0.011920304247785063
90,45,0.0008386563442325652
90,46,0.0004649721520752431
90,47,0.0005511496925020671
90,48,0.0006696578973663281
90,49,0.0016562403026031869
90,50,0.0006251048025838504
90,51,0.0004067592586692152
90,52,0.0005231197141245236
90,53,0.00123438436197438
90,54,0.0008347548521107157
90,55,0.0005384635998955504
90,56,0.0004565482997127219
90,57,0.0015432843967818821
90,58,0.00041982178751393727
90,59,0.0005165079345268124
90,60,0.0015506453846621986
90,61,0.00424461206215685
90,62,0.0006394139893949522
90,63,0.011298678690127973
90,64,0.0007066454565407194
90,65,0.0004942643985484336
90,66,0.0004608208012361856
90,67,0.001252054909713545
90,68,0.0004234732636428689
90,69,0.0005548289685866996
90,70,0.0009194867844660785
90,71,0.0005116746550274411
90,72,0.0006255045768937394
90,73,0.000440545565069381
90,74,0.0005939187802036474
90,75,0.000578770787717922
90,76,0.00045825281779226715
90,77,0.0006271147351482714
90,78,0.0007744345213790964
90,79,0.0008839753874466585
90,80,0.0006473620585030181
90,81,0.0007184553834724658
90,82,0.0004806165674708302
90,83,0.0007259797403111364
90,84,0.00044724295002042717
90,85,0.000742728748468391
90,86,0.00044958844551758447
90,87,0.0008874165645725748
90,88,0.00046909725923167467
90,89,0.00043462940584606483
90,90,0.0006637629929313693
120,1,0.001215113468829894
120,2,0.002913148171716253
120,3,0.0005370505639819125
120,4,0.003294738958096552
120,5,0.0005574031468746434
120,6,0.0015977642123040866
120,7,0.00455633837327709
120,8,0.0013701929288356327
120,9,0.0013637888746850686
120,10,0.0015886340598795044
120,11,0.0006574992384732315
120,12,0.0010653419357919045
120,13,0.002340146511424739
120,14,0.0004119564862937336
120,15,0.0007224358692747283
120,16,0.0006009540080736973
120,17,0.0004907017539461275
120,18,0.0005430630180116222
120,19,0.0008425599833773282
120,20,0.0004194643919606916
120,21,0.0006608985095050528
120,22,0.0008990133325378465
120,23,0.0015938674695380197
120,24,0.0007818869229326988
120,25,0.0007470223138389571
120,26,0.0004532195984770594
120,27,0.000583634532156721
120,28,0.0008429262144494511
120,29,0.001867295089650659
120,30,0.0010364043196953812
120,31,0.0016652970391597768
120,32,0.0006751673592252466
120,33,0.0009660537161755954
120,34,0.001271203651535085
120,35,0.000462865703740965
120,36,0.002941836412556005
120,37,0.0017114891072539508
120,38,0.000607382684390057
120,39,0.0004827315046073184
120,40,0.0022650300898456746
120,41,0.0010448908539668626
120,42,0.0010331062496474843
120,43,0.0023250461047909193
120,44,0.011920304247785063
120,45,0.0008386563442325652
120,46,0.0004649721520752431
120,47,0.0005511496925020671
120,48,0.0006696578973663281
120,49,0.0016562403026031869
120,50,0.0006251048025838504
120,51,0.0004067592586692152
120,52,0.0005231197141245236
120,53,0.00123438436197438
120,54,0.0008347548521107157
120,55,0.0005384635998955504
120,56,0.0004565482997127219
120,57,0.0015432843967818821
120,58,0.00041982178751393727
120,59,0.0005165079345268124
120,60,0.0015506453846621986
120,61,0.00424461206215685
120,62,0.0006394139893949522
120,63,0.011298678690127973
120,64,0.0007066454565407194
120,65,0.0004942643985484336
120,66,0.0004608208012361856
120,67,0.001252054909713545
120,68,0.0004234732636428689
120,69,0.0005548289685866996
120,70,0.0009194867844660785
120,71,0.0005116746550274411
120,72,0.0006255045768937394
120,73,0.000440545565069381
120,74,0.0005939187802036474
120,75,0.000578770787717922
120,76,0.00045825281779226715
120,77,0.0006271147351482714
120,78,0.0007744345213790964
120,79,0.0008839753874466585
120,80,0.0006473620585030181
120,81,0.0007184553834724658
120,82,0.0004806165674708302
120,83,0.0007259797403111364
120,84,0.00044724295002042717
120,85,0.000742728748468391
120,86,0.00044958844551758447
120,87,0.0008874165645725748
120,88,0.00046909725923167467
120,89,0.00043462940584606483
120,90,0.0006637629929313693
120,91,0.0004255902858970341
120,92,0.0008423238082769936
120,93,0.0006383436577675961
120,94,0.0006152726803120295
120,95,0.0004431490740812364
120,96,0.0006609184894247451
120,97,0.0010844420913155115
120,98,0.0012038492558815036
120,99,0.0008885352735251891
120,100,0.0006657714979166469
120,101,0.0011071935730345929
120,102,0.00956951174033394
120,103,0.000494222801845863
120,104,0.0007092497836634065
120,105,0.006678084487434708
120,106,0.0009501957174810631
120,107,0.0006967488705731124
120,108,0.0029852259276037757
120,109,0.0010351826760238052
120,110,0.0004120390688044499
120,111,0.000484319394511422
120,112,0.0005099201625143646
120,113,0.0005923782764449413
120,114,0.00040661355512678244
120,115,0.003472186555692308
120,116,0.0005238731756083899
120,117,0.002406219285040278
120,118,0.0010156212926577246
120,119,0.0006602677847872389
120,120,0.0004005144713868567
